,AR,AT,AU,BE,BG,CA,CL,CZ,DE,DK,FI,FR,GB,GR,HK,HU,ID,IE,IL,IS,IT,KW,KZ,LV,MX,NL,NO,PE,PL,PT,RU,SE,SI,SK,TH,TR,TW,UA,US,actor1,actor2,actor3,budget,budget/popularity,budget/rating,budget/runtime,budget/theatrical,budget/totalVotes,budget/year,has_collection,has_homepage,has_tagline,id,inflationBudget,isOriginalLanguageEng,isOriginalLanguageZh,isTitleDifferent,meanbudgetByYear,meanpopularityByYear,meanruntimeByYear,meantotalVotesByRating,meantotalVotesByYear,medianbudgetByYear,popularity,popularity/releaseYear,popularity/theatrical,popularity/totalVotes,popularity2,rating,rating/popularity,releaseYear/popularity,release_day,release_dayofweek,release_month,release_quarter,release_year,revenue,runtime/rating,theatrical,theatrical_limited,totalVotes,totalVotes/releaseYear,genders_0_crew,genders_1_crew,genders_2_crew,_collection_name,#Keywords,_num_cast,original_title_letter_count,original_title_word_count,title_word_count,overview_word_count,tagline_word_count,production_countries_count,production_companies_count,cast_count,crew_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,Australia,Belgium,Brazil,Canada,China,Czech Republic,Denmark,France,Germany,Hong Kong,India,Ireland,Italy,Japan,Luxembourg,Mexico,Netherlands,New Zealand,Russia,South Africa,South Korea,Spain,Sweden,United Kingdom,United States of America,production_countries_etc,Dansk,Deutsch,English,Español,Français,Italiano,Latin,Magyar,Nederlands,Polski,Português,Pусский,Tiếng Việt,Türkçe,spoken_languages_etc,svenska,Český,ελληνικά,עִבְרִית,العربية,فارسی,हिन्दी,தமிழ்,ภาษาไทย,广州话 / 廣州話,日本語,普通话,한국어/조선말,Amblin Entertainment,American Zoetrope,BBC Films,Blumhouse Productions,Canal+,Canal+ España,Cannon Group,Carolco Pictures,Castle Rock Entertainment,Ciné+,Columbia Pictures,Columbia Pictures Corporation,Davis Entertainment,Dimension Films,DreamWorks SKG,Dune Entertainment,Dune Entertainment III,Emmett/Furla Films,Eon Productions,Epsilon Motion Pictures,EuropaCorp,Film4,Focus Features,Fox 2000 Pictures,Fox Searchlight Pictures,France 2 Cinéma,Gaumont,Happy Madison Productions,Hollywood Pictures,Icon Entertainment International,Imagine Entertainment,Ingenious Film Partners,Killer Films,Lakeshore Entertainment,Legendary Pictures,Lions Gate Films,Lionsgate,Malpaso Productions,Metro-Goldwyn-Mayer (MGM),Millennium Films,Miramax Films,Morgan Creek Productions,NPV Entertainment,New Line Cinema,New Regency Pictures,Original Film,Orion Pictures,Paramount Pictures,Participant Media,Phoenix Pictures,PolyGram Filmed Entertainment,Regency Enterprises,Relativity Media,Revolution Studios,Scott Free Productions,Scott Rudin Productions,Screen Gems,Silver Pictures,Spyglass Entertainment,Studio Babelsberg,StudioCanal,Summit Entertainment,TF1 Films Production,TSG Entertainment,The Weinstein Company,Touchstone Pictures,TriStar Pictures,Twentieth Century Fox Film Corporation,UK Film Council,United Artists,Universal Pictures,Village Roadshow Pictures,Walt Disney Pictures,Warner Bros.,Wild Bunch,Wildwood Enterprises,Working Title Films,production_companies_etc,num_Keywords,keyword_woman director,keyword_independent film,keyword_duringcreditsstinger,keyword_murder,keyword_based on novel,keyword_violence,keyword_sport,keyword_biography,keyword_aftercreditsstinger,keyword_dystopia,keyword_revenge,keyword_friendship,keyword_sex,keyword_suspense,keyword_sequel,keyword_love,keyword_police,keyword_teenager,keyword_nudity,keyword_female nudity,keyword_drug,keyword_prison,keyword_musical,keyword_high school,keyword_los angeles,keyword_new york,keyword_family,keyword_father son relationship,keyword_kidnapping,keyword_investigation
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.558,2.101,3.719,16.454567959008102,2.5024463114232267,3.2909135918016204,0.17693083826890432,2.742427993168017,0.034138107798771994,4.052624659719129e-06,1.0,0.0,1.0,1,14756000.0,1.0,0.0,0.0,11.466882374434565,10.2274645546875,111.9375,249.8108108108108,1611.8120201899724,15.828186537260411,6.575392999999999,0.003263222332506203,0.9124929871111888,73.30360329793217,10.4,5.0,0.7604108225926572,306.4455615048409,20,4.0,2,1.0,2015,12314651.0,18.6,6.0,0.0,482.0,0.2392059553349876,59,0,13,282,4,24,22,5,5.0,29.0,11.0,1,3,24,72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.585999999999999,3.822,2.707,17.50439003707821,2.1220284701257817,2.7350609432934703,0.15490610652281603,1.750439003707821,0.01145575264206689,4.358645492716715e-06,1.0,0.0,1.0,2,50080000.0,1.0,0.0,0.0,13.630994544811736,8.382674674698796,105.10843373493977,866.8275862068965,1072.2763684857402,16.648723960844016,8.248895,0.004116215069860279,1.212283584649823,185.23693173449294,15.229000000000001,6.4,0.7758614941758867,242.94163036382452,6,4.0,8,3.0,2004,95149435.0,17.65625,10.0,0.0,1528.0,0.7624750499001997,1,4,4,641,4,20,40,6,6.0,69.0,13.0,1,1,20,9,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,9.959,6.034,7.065,15.009433329466965,0.23342823738334895,1.7868373011270196,0.14294698409016157,0.40566036025586394,0.0020521511251663884,3.700371808824565e-06,0.0,1.0,1.0,3,3537600.0,1.0,0.0,0.0,10.696901488223176,10.58758782113821,105.41463414634147,5697.333333333333,1339.5355867368528,15.607270193858982,64.29999000000001,0.03192650943396227,0.5754277722282694,113.74807367777194,26.081999999999997,8.4,0.13063765639776925,31.32193333156039,10,4.0,10,4.0,2014,13092000.0,12.5,37.0,1.0,7314.0,3.6315789473684212,49,4,11,1,12,51,8,1,1.0,21.0,10.0,1,3,51,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.9760000000000004,0.743,13.997832948091215,4.408855154274359,1.866377726412162,0.11473633564009193,4.665944316030405,0.121720286505141,3.4578396786505657e-06,0.0,1.0,0.0,4,1329600.0,0.0,0.0,0.0,11.562579438578387,8.188657048,105.944,1562.2207792207791,1317.3580346981264,15.76142084987672,3.174936,0.0015780000000000002,0.9449009365858083,36.22120256912265,5.531000000000001,7.5,2.362252341464521,633.7135614702154,9,4.0,3,1.0,2012,16000000.0,16.266666666666666,3.0,0.0,115.0,0.05715705765407555,3,0,0,1,7,7,7,1,1.0,106.0,0.0,1,0,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.996,1.3119999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,1.0,13.22252866781334,7.8833970094339625,106.59433962264151,933.9385843164473,1062.5065369960587,16.417513975678496,1.1480700000000001,0.0005714634146341464,0.8710270279686777,813.4857494024292,8.029302914642594,6.36630811936155,5.545226440340353,1749.8932991890736,5,3.0,2,1.0,2009,3923970.0,18.5350752410384,1.0,0.0,933.938584316447,0.4648773441097297,2,0,0,1,0,4,4,1,2.0,32.0,0.0,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.092,0.6,0.6,15.894952224644102,21.38505076814755,3.116657298949824,0.19150544848968798,7.947476112322051,1.9868690280805128,4.025904723086601e-06,0.0,0.0,0.0,6,12464000.0,1.0,0.0,0.0,8.258386740365525,6.999629355555555,102.75555555555556,337.9512195121951,462.72787416146195,14.731801689838349,0.743274,0.00037406844489179666,2.6907977408062167,10.763190963224867,0.9279999999999999,5.1,6.861534239055852,2673.3075554909765,6,3.0,8,3.0,1987,3261638.0,16.27450980392157,2.0,0.0,8.0,0.004026170105686965,7,0,4,1,0,4,38,7,7.0,28.0,0.0,0,0,4,11,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.531,4.68,1.405,16.454567959008102,2.2582337059470716,2.788909823560695,0.1788539995544359,0.498623271485094,0.019449843923177425,4.064719031489024e-06,0.0,1.0,1.0,7,15512000.0,1.0,0.0,0.0,11.562579438578387,8.188657048,105.944,603.7777777777778,1317.3580346981264,15.76142084987672,7.2864770000000005,0.0036215094433399604,4.528937647096121,116.10549240737326,9.437999999999999,5.9,0.8097191550868822,276.12795593810284,30,3.0,8,3.0,2012,85446075.0,15.59322033898305,33.0,0.0,846.0,0.42047713717693835,60,6,11,1,0,14,14,2,2.0,39.0,7.0,2,2,14,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,0.0,1.0,0.0,0.0,13.630994544811736,8.382674674698796,105.10843373493977,1562.2207792207791,1072.2763684857402,16.648723960844016,1.9490439999999998,0.0009725768463073851,0.5130720496817928,13.339873291726612,2.841,7.5,3.848040372613446,1028.1963875623128,15,3.0,1,1.0,2004,2586511.0,11.2,1.0,0.0,26.0,0.012974051896207584,0,1,0,1,7,4,12,2,2.0,80.0,4.0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.572,0.608,2.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9,0.0,1.0,0.0,0.0,13.281883993281767,7.865265999999999,104.94444444444444,866.8275862068965,621.63413033878,16.951004817371683,6.902423,0.003458127755511022,0.869259968564662,22.02125253697144,7.5489999999999995,6.4,0.9272106331356396,289.1738162091776,16,4.0,2,1.0,1996,34327391.0,15.625,6.0,0.0,152.0,0.07615230460921844,1,0,7,631,4,12,22,3,3.0,75.0,5.0,1,3,12,8,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6019999999999999,1.4,1.663,15.607270193858982,3.3405714754464606,2.2619232165013017,0.17150846366878003,15.607270193858982,0.14586233826036432,3.890138380511854e-06,0.0,0.0,1.0,10,7620000.0,1.0,0.0,0.0,13.710806892053174,8.867440135135137,107.51351351351352,825.394495412844,1021.8370078961682,16.902403655748575,4.672036,0.0023325192211682477,0.21403944661385313,22.902220787682285,5.76,6.9,1.4768721816355868,428.7210115675478,16,2.0,4,2.0,2003,18750246.0,13.18840579710145,1.0,0.0,107.0,0.05341987019470794,3,4,4,1,2,20,13,3,3.0,50.0,7.0,1,1,20,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
